[E 251014 10:00:48 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'a0:29:42:ea:57:d0', 'Accept': 'application/json', 'X-PrivateKey': 'yAlpBjl4', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'stock': 'RELIANCE', 'exchange': 'NSE', 'symboltoken': '2885', 'interval': 'ONE_MINUTE', 'fromdate': '2025-10-01 00:00', 'todate': '2025-10-31 23:59'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 251014 10:00:49 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'a0:29:42:ea:57:d0', 'Accept': 'application/json', 'X-PrivateKey': 'yAlpBjl4', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'stock': 'SBICARD', 'exchange': 'NSE', 'symboltoken': '17971', 'interval': 'ONE_MINUTE', 'fromdate': '2025-10-01 00:00', 'todate': '2025-10-31 23:59'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 251014 10:00:50 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'a0:29:42:ea:57:d0', 'Accept': 'application/json', 'X-PrivateKey': 'yAlpBjl4', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'stock': 'SBILIFE', 'exchange': 'NSE', 'symboltoken': '21808', 'interval': 'ONE_MINUTE', 'fromdate': '2025-10-01 00:00', 'todate': '2025-10-31 23:59'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 251014 10:00:51 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'a0:29:42:ea:57:d0', 'Accept': 'application/json', 'X-PrivateKey': 'yAlpBjl4', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'stock': 'SJVN', 'exchange': 'NSE', 'symboltoken': '18883', 'interval': 'ONE_MINUTE', 'fromdate': '2025-10-01 00:00', 'todate': '2025-10-31 23:59'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 251014 10:00:53 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'a0:29:42:ea:57:d0', 'Accept': 'application/json', 'X-PrivateKey': 'yAlpBjl4', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'stock': 'SRF', 'exchange': 'NSE', 'symboltoken': '3273', 'interval': 'ONE_MINUTE', 'fromdate': '2025-10-01 00:00', 'todate': '2025-10-31 23:59'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 251014 10:00:54 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'a0:29:42:ea:57:d0', 'Accept': 'application/json', 'X-PrivateKey': 'yAlpBjl4', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'stock': 'MOTHERSON', 'exchange': 'NSE', 'symboltoken': '4204', 'interval': 'ONE_MINUTE', 'fromdate': '2025-10-01 00:00', 'todate': '2025-10-31 23:59'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 251014 10:00:55 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'a0:29:42:ea:57:d0', 'Accept': 'application/json', 'X-PrivateKey': 'yAlpBjl4', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'stock': 'SHREECEM', 'exchange': 'NSE', 'symboltoken': '3103', 'interval': 'ONE_MINUTE', 'fromdate': '2025-10-01 00:00', 'todate': '2025-10-31 23:59'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 251014 10:00:56 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'a0:29:42:ea:57:d0', 'Accept': 'application/json', 'X-PrivateKey': 'yAlpBjl4', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'stock': 'SHRIRAMFIN', 'exchange': 'NSE', 'symboltoken': '4306', 'interval': 'ONE_MINUTE', 'fromdate': '2025-10-01 00:00', 'todate': '2025-10-31 23:59'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 251014 10:00:57 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'a0:29:42:ea:57:d0', 'Accept': 'application/json', 'X-PrivateKey': 'yAlpBjl4', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'stock': 'SIEMENS', 'exchange': 'NSE', 'symboltoken': '3150', 'interval': 'ONE_MINUTE', 'fromdate': '2025-10-01 00:00', 'todate': '2025-10-31 23:59'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 251014 10:00:59 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'a0:29:42:ea:57:d0', 'Accept': 'application/json', 'X-PrivateKey': 'yAlpBjl4', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'stock': 'SOLARINDS', 'exchange': 'NSE', 'symboltoken': '13332', 'interval': 'ONE_MINUTE', 'fromdate': '2025-10-01 00:00', 'todate': '2025-10-31 23:59'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
[E 251014 10:01:00 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData. Error: Something Went Wrong, Please Try After Sometime. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'a0:29:42:ea:57:d0', 'Accept': 'application/json', 'X-PrivateKey': 'yAlpBjl4', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'stock': 'SONACOMS', 'exchange': 'NSE', 'symboltoken': '4684', 'interval': 'ONE_MINUTE', 'fromdate': '2025-10-01 00:00', 'todate': '2025-10-31 23:59'}, Response: {'message': 'Something Went Wrong, Please Try After Sometime', 'errorcode': 'AB1004', 'status': False, 'data': None}
